"key","en","de","es","fr","it","jp","ko","pl","pt","ru","cn"
"aboutDataSource","Data Source","Datenquelle","Fuente de datos","Source des données","Data Source","データ出典","Data Source","Data Source","Origem de Dados","источник данных","Data Source"
"aboutRelatedPublication","Related Publication","Zugehörige Publikation","Publicaciones relacionadas","Publication apparentée","Related Publication","関連出版物","Related Publication","Related Publication","Publicações relacionadas","публикации по теме","Related Publication"
"aboutRelatedRead","Read this publication","Diese Publikation lesen","Lea esta publicación","Lire cette publication","Read this publication","この出版物を読む","Read this publication","Read this publication","Leia esta publicação ","Читать публикацию","Read this publication"
"aboutRelatedWebsite","Website with additional information","Webseite mit weiteren Informationen","Sitio web con información adicional","Page avec informations complémentaires","Website with additional information","Economic Outlookホームページ","Website with additional information","Website with additional information","Site com informações adicionais ","Дополнительная информация на сайте","Website with additional information"
"aboutEmail","Email","Email","Email","Email","Email","メール","Email","Email","Email","Email","Email"
"aboutFacebook","Facebook","Facebook","Facebook","Facebook","Facebook","フェイスブック","Facebook","Facebook","Facebook","Facebook","Facebook"
"aboutTwitter","Tweet","Tweet","Tweet","Tweet","Tweet","ツイ―トする","Tweet","Tweet","Tweet","Tweet","Tweet"
"aboutEmbed","Embed","Embed","Embed","Intégrer","Embed","埋め込む","Embed","Embed","Incorporar","HTML-код","Embed"
"share","+ share/embed","+ Teilen/Einbinden","+compartir","+partager","condividi/integra","シェアする/埋め込む","+ 자국어로 공유/소스 추가","+ podziel się/zaimplementuj","+ compartilhar/incorporar","+ поделиться","+ share/embed"
"full_screen","full screen","Vollbild","pantalla completa","plein écran","schermata completa","全画面表示","추가 지표","pełny ekran","ecrã inteiro","во весь экран","full screen"
"get_data","data source/about","Datenquelle/about","fuente de datos/sobre","sources/conditions","fonte di dati/condizioni","データ出典/利用規約","자료원/이용 조건","źródło danych","origem de dados/a propósito","источник данных","data source/about"
"source","related publication","Studie","publicación relacionada","rapport","pubblicazione attinente","関連出版物","관련 발간물","powiązane publikacje","Publicação relacionada","публикации по теме","related publication"
"terms","terms","Bedingungen","términos y condiciones","conditions d'utilisation","condizioni d'uso","利用規約","이용 조건","warunki","termos","условия","terms"
"feedback","feedback","Feedback","retroalimentación","vos commentaires","feedback","コメント","피드백","podziel się opinią","feedback","обратная связь","feedback"
"map_disclaimer_button","Disclaimer","Disclaimer","Sin responsabilidades","Disclaimer","Disclaimer","免責条項","Disclaimer","Disclaimer","Aviso de isenção","Дисклеймер","Disclaimer"
"map_disclaimer_text","This map is without prejudice to the status of or sovereignty over any territory, to the delimitation of international frontiers and boundaries and to the name of any territory, city or area.","This map is without prejudice to the status of or sovereignty over any territory, to the delimitation of international frontiers and boundaries and to the name of any territory, city or area.","Este mapa es sin prejuicios sobre la condición o soberanía de ningún territorio, delimitación de fronteras o límites internacionales y el nombre de ninguno de los territorios, ciudades o zonas.","This map is without prejudice to the status of or sovereignty over any territory, to the delimitation of international frontiers and boundaries and to the name of any territory, city or area.","This map is without prejudice to the status of or sovereignty over any territory, to the delimitation of international frontiers and boundaries and to the name of any territory, city or area.","この地図は、あらゆる領土の地位や主権、国際的な境界設定や国境を、また、あらゆる領土や都市、地域の名称を害するものではない。","This map is without prejudice to the status of or sovereignty over any territory, to the delimitation of international frontiers and boundaries and to the name of any territory, city or area."," Ta mapa jest prezentowana nie naruszając statusu lub suwerenności dla któregokolwiek z terytorów, również do wyznaczania międzynarodowych granic oraz podziałow, nazw terenów, miast lub obszarów","Este mapa é sem prejuízo do estatuto de ou da soberania sobre qualquer território, da delimitação de fronteiras ou limites internacionais e do nome de todo território, cidade ou área.",,"This map is without prejudice to the status of or sovereignty over any territory, to the delimitation of international frontiers and boundaries and to the name of any territory, city or area."
"def_button","definitions","Definitionen","Definiciones","définitions","définitions","定義","定義","definicje","definições","определения","definitions"
"projections","forecast","Prognose","Estimaciones","projections","stime","見通し","Projections","prognozy","Projecções","прогноз","forecast"
"men","men","Männer","hombres","hommes","hommes","男性","男性","mężczyźni","men","мужчины","men"
"women","women","Frauen","mujeres","femmes","femmes","女性","女性","kobiety","women","женщины","women"
"total","total","Gesamt","total","total","total","合計","合計","razem","total","в общем","total"
"native","native","in Inland geb.","originario","né dans le pays","native","自国民","自国民","tubylec","native","родившийся в стране","native"
"foreignBorn","foreign born","im Ausland geb.","nacido en el extranjero","né à l'étranger","foreign born","外国生まれ","外国生","urodzony za granicą","foreign born","родившийся за границей","foreign born"
"or","or","oder","o","ou","or","または","or","or","or","или","or"
"and","and","und","y","et","and","と","and","i","e","и","and"
"Compare","Compare","Vergleiche","Compare","Comparez","Compare","比較","Compare","Porównaj","Compare","Сравнить","Compare"
"with","with","mit","con","avec","with",,"with","z","with","с","with"
"selectCountry","select country","Land auswählen","seleccione país","select country","select country","国を選択","select country","select country","select country","выбрать страну","select country"
"addCountry","add country","Land hinzufügen","agregue país","add country","add country","国を追加","add country","add country","add country","добавить страну","add country"
"SelectMap","select country from map","wählen Sie ein Land aus der Karte","seleccione un país del mapa","select country from map","select country from map","地図から国を選択","select country from map","wybierz kraj z mapki","seleccionar um país no mapa","выбрать страну на карте","select country from map"
"startTour","start tour","Tour beginnen","inicie la gira","start tour","start tour","ツアーを開始","start tour","start tour","start tour","тур по странице","start tour"
"countryProfil","view country profile","zum Länderprofil","vea el perfil del país","view country profile","view country profile","国別プロファイルを見る","view country profile","view country profile","view country profile","профиль страны","view country profile"
"headlineCountryProfil","Country profile","Country profile","Perfil del país","Country profile","Country profile","国別プロファイル","Country profile","Country profile","Country profile","Country profile","Country profile"
"readFullCountryNote","read full country note","read full country note","lea completa la nota de país","read full country note","read full country note","国別レポートの全文を読む","read full country note","read full country note","read full country note","read full country note","read full country note"
"downloadAsPDF","download as PDF","download as PDF","descarguelo en PDF","download as PDF","download as PDF","PDFファイルをダウンロード","download as PDF","download as PDF","download as PDF","download as PDF","download as PDF"
"TabOverview","Overview","Overview","Resumen","Overview","Overview","概要","Overview","Overview","Overview","Overview","Overview"
"TabAllIndicators","All indicators","All indicators","Todos los indicadores","All indicators","All indicators","全指標","All indicators","All indicators","All indicators","All indicators","All indicators"
"TabCompareCountries","Compare countries","Compare countries","Compare países","Compare countries","Compare countries","国を比較","Compare countries","Compare countries","Compare countries","Compare countries","Compare countries"
"TabFullReport","Full report","Full report","Reporte completo","Full report","Full report","報告書全文","Full report","Full report","Full report","Full report","Full report"
"TabCountryNote","Country note","Country note","Nota de país","Country note","Country note","国別レポート","Country note","Country note","Country note","Country note","Country note"
